Country,31/1/2022,17/2/2022,28/2/2022,4/3/2022,31/3/2022,10/4/2022,12/4/2022,30/4/2022,6/5/2022,8/5/2022,12/5/2022,13/5/2022,15/5/2022,17/5/2022,18/5/2022,19/5/2022,20/5/2022,21/5/2022,23/5/2022,24/5/2022,25/5/2022,26/5/2022,27/5/2022,28/5/2022,29/5/2022,30/5/2022,31/5/2022,1/6/2022,2/6/2022,3/6/2022,4/6/2022,5/6/2022,6/6/2022,7/6/2022,8/6/2022,9/6/2022,10/6/2022,11/6/2022,12/6/2022,13/6/2022,14/6/2022,15/6/2022,16/6/2022,17/6/2022,18/6/2022,19/6/2022,20/6/2022,21/6/2022,22/6/2022,23/6/2022,24/6/2022,25/6/2022,26/6/2022,27/6/2022,28/6/2022,29/6/2022,30/6/2022,1/7/2022,2/7/2022,3/7/2022,4/7/2022,5/7/2022,6/7/2022,7/7/2022,8/7/2022,9/7/2022,10/7/2022,11/7/2022,12/7/2022,13/7/2022,14/7/2022,15/7/2022,16/7/2022,17/7/2022,18/7/2022,19/7/2022,20/7/2022,21/7/2022,22/7/2022,23/7/2022,24/7/2022,25/7/2022,Country_Code
Nigeria,3,0,1,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,10,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,3,15,0,0,1,0,0,0,24,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NGA
Nigeria,10,3,14,4,16,10,10,16,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,21,21,20,21,21,21,21,31,31,31,31,31,31,31,36,36,36,36,36,36,36,41,41,41,41,41,41,44,59,59,59,60,80,60,60,84,84,84,84,84,84,84,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,40,NGA
Cameroon,0,3,10,3,12,3,3,20,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,28,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,CMR
Central African Republic,0,0,0,2,2,6,6,6,6,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,CAF
Republic of Congo,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,COD
England,0,0,0,0,0,0,0,0,1,1,2,3,7,7,9,9,20,20,56,70,77,101,101,101,101,172,45,188,199,214,214,214,287,305,305,348,348,348,452,452,504,504,550,550,550,550,766,766,766,766,873,873,1035,1035,1035,1035,23,130,1185,1185,1285,1285,1285,1482,1482,1482,1482,1660,1660,1660,1660,1778,1778,1778,1778,2050,2050,2115,2115,2115,2115,32,GBR
Democratic Republic Of The Congo,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,46,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,24,COG
Portugal,,0,0,0,0,0,0,0,0,0,0,0,0,3,14,23,23,23,37,39,49,58,74,74,74,96,30,30,138,143,143,143,153,166,191,209,209,209,209,209,231,241,241,276,276,276,297,304,317,328,348,348,348,365,373,391,34,60,420,420,420,433,433,473,473,473,473,473,473,515,515,515,515,515,515,515,588,588,588,588,588,34,PRT
Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,30,40,41,45,53,78,99,99,108,116,50,40,162,181,181,181,198,225,259,259,275,275,275,275,313,313,497,498,498,498,521,521,521,736,736,736,736,800,800,800,34,90,20,1196,1258,1258,1258,1258,2034,2034,2034,2034,2447,2447,2447,2835,2835,2835,2835,3125,3125,3125,3125,3125,3125,34,ESP
United States,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,4,6,11,15,16,17,17,21,22,26,31,32,32,34,40,45,50,53,55,57,75,83,96,117,128,132,133,137,175,196,218,237,243,252,315,359,409,24,43,547,553,563,709,749,883,950,960,964,1058,1122,1245,1426,1768,1768,1768,1914,2033,2242,2560,2883,2883,2883,24,USA
