Country,Confirmed_Cases,Suspected_Cases,Hospitalized,Travel_History_Yes,Travel_History_No,date
England,1482.0,0.0,5.0,2.0,7.0,"july 1,2021"
Portugal,473.0,0.0,0.0,0.0,34.0,"july 1,2021"
Spain,2034.0,0.0,11.0,2.0,0.0,"july 1,2021"
United States,790.0,0.0,4.0,23.0,4.0,"july 1,2021"
Canada,375.0,9.0,1.0,2.0,0.0,"july 1,2021"
Sweden,43.0,0.0,0.0,0.0,0.0,"july 1,2021"
Italy,255.0,1.0,18.0,19.0,4.0,"jan 1,2021"
France,721.0,1.0,1.0,2.0,1.0,"jan 1,2021"
Belgium,168.0,1.0,2.0,1.0,0.0,"jan 1,2021"
Australia,20.0,0.0,2.0,8.0,0.0,"jan 1,2021"
Germany,1490.0,0.0,18.0,18.0,15.0,"jan 1,2021"
Netherlands,402.0,0.0,0.0,1.0,0.0,"jan 1,2021"
Israel,59.0,0.0,3.0,5.0,0.0,"jan 1,2021"
Switzerland,140.0,0.0,0.0,3.0,0.0,"feb 1,2021"
Greece,11.0,0.0,2.0,2.0,0.0,"feb 1,2021"
Austria,62.0,0.0,2.0,1.0,0.0,"feb 1,2021"
Argentina,6.0,0.0,0.0,5.0,1.0,"feb 1,2021"
Denmark,18.0,0.0,0.0,3.0,1.0,"feb 1,2021"
Morocco,1.0,0.0,0.0,1.0,0.0,"feb 1,2021"
Slovenia,18.0,0.0,0.0,2.0,0.0,"mar 1,2021"
Scotland,41.0,0.0,1.0,1.0,0.0,"mar 1,2021"
Czech Republic,8.0,0.0,1.0,2.0,0.0,"mar 1,2021"
United Arab Emirates,13.0,0.0,0.0,1.0,0.0,"mar 1,2021"
Finland,10.0,0.0,0.0,3.0,0.0,"mar 1,2021"
Wales,18.0,0.0,0.0,0.0,0.0,"apr 1,2021"
Northern Ireland,11.0,0.0,0.0,0.0,0.0,"apr 1,2021"
Sudan,0.0,1.0,0.0,0.0,0.0,"apr 1,2021"
Bolivia,0.0,1.0,1.0,0.0,1.0,"apr 1,2021"
Iran,0.0,3.0,0.0,0.0,0.0,"apr 1,2021"
Ecuador,1.0,0.0,1.0,0.0,0.0,"apr 1,2021"
Malta,4.0,0.0,0.0,1.0,0.0,"apr 1,2021"
Ireland,44.0,0.0,0.0,0.0,0.0,"may 1,2021"
Mexico,11.0,0.0,0.0,2.0,0.0,"may 1,2021"
Pakistan,0.0,1.0,1.0,0.0,0.0,"may 1,2021"
French Guiana,0.0,0.0,0.0,0.0,0.0,"may 1,2021"
Thailand,0.0,0.0,0.0,0.0,0.0,"may 1,2021"
Peru,18.0,0.0,1.0,1.0,0.0,"jun 1,2021"
Brazil,173.0,8.0,2.0,20.0,4.0,"jun 1,2021"
Malaysia,0.0,0.0,0.0,0.0,0.0,"jun 1,2021"
Hungary,24.0,0.0,0.0,0.0,0.0,"jun 1,2021"
Norway,25.0,0.0,0.0,3.0,0.0,"jun 1,2021"
Paraguay,0.0,0.0,0.0,1.0,0.0,"jun 1,2021"
Costa Rica,0.0,0.0,0.0,1.0,0.0,"jun 1,2021"
